ticker,company name,sector,sub-industry,date first added,newsDateLength
ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,2015-11-19,135
INCY,Incyte,Health Care,Biotechnology,2017-02-28,205
IR,Ingersoll Rand,Industrials,Industrial Machinery,2020-03-03,306
INTC,Intel Corp.,Information Technology,Semiconductors,1976-12-31,19
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2007-09-26,99
IBM,International Business Machines,Information Technology,IT Consulting & Other Services,1957-03-04,31
IP,International Paper,Materials,Paper Packaging,1957-03-04,296
IPG,Interpublic Group,Communication Services,Advertising,1992-10-01,229
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,1976-03-31,323
INTU,Intuit Inc.,Information Technology,Application Software,2000-12-05,111
ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment,2008-06-02,121
IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,2008-08-21,72
IPGP,IPG Photonics Corp.,Information Technology,Electronic Manufacturing Services,2018-03-07,461
IQV,IQVIA Holdings Inc.,Health Care,Life Sciences Tools & Services,2017-08-29,304
IRM,Iron Mountain Incorporated,Real Estate,Specialized REITs,2009-01-06,324
JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,2018-11-13,344
J,Jacobs Engineering Group,Industrials,Construction & Engineering,2007-10-26,301
JBHT,J. B. Hunt Transport Services,Industrials,Trucking,2015-07-01,174
SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats,2008-11-06,133
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,1973-06-30,25
JCI,Johnson Controls International,Industrials,Building Products,2010-08-27,212
JPM,JPMorgan Chase & Co.,Financials,Diversified Banks,1975-06-30,19
JNPR,Juniper Networks,Information Technology,Communications Equipment,2006-06-02,202
KSU,Kansas City Southern,Industrials,Railroads,2013-05-24,185
K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,,115
KEY,KeyCorp,Financials,Regional Banks,1994-03-01,315
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,2018-11-06,140
KMB,Kimberly-Clark,Consumer Staples,Household Products,1957-03-04,158
KIM,Kimco Realty,Real Estate,Retail REITs,2006-04-04,287
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2012-05-25,146
KLAC,KLA Corporation,Information Technology,Semiconductor Equipment,,335
KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,2015-07-06,112
KR,Kroger Co.,Consumer Staples,Food Retail,1957-03-04,49
LB,L Brands Inc.,Consumer Discretionary,Apparel Retail,1983-09-30,52
LHX,L3Harris Technologies,Industrials,Aerospace & Defense,,199
LH,Laboratory Corp. of America Holding,Health Care,Health Care Services,2004-11-01,71
LRCX,Lam Research,Information Technology,Semiconductor Equipment,2012-06-29,125
LW,Lamb Weston Holdings Inc,Consumer Staples,Packaged Foods & Meats,2018-12-03,309
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,2019-10-03,30
LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings,,527
LDOS,Leidos Holdings,Information Technology,IT Consulting & Other Services,2019-08-09,237
LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,2005-10-04,78
LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,1970-12-31,35
